# Header line
# Header line
# Header line

Date	Time	Vx	Vy	Vz	X
		m/s	m/s	m/s	m/s
03-01-2005 05:40:00.000       7.51100         -4.18500          5.83100        -0.281000
03-01-2005 05:44:00.000       7.23900         -4.39500          2.21400          5.12200
03-01-2005 05:48:00.000       7.39200         -4.41800          5.10000         -2.37900
03-01-2005 05:52:00.000       7.44200         -4.17000          5.12200         -3.24900
03-01-2005 05:56:00.000       7.39000         -2.06400          6.25800         -3.26100
03-01-2005 06:00:00.000       7.41200         -2.72300          5.86000         -3.43400
03-01-2005 06:04:00.000       7.48600         -4.91200          4.06400         -3.78900
03-01-2005 06:08:00.000       7.38000         -4.41100          5.15600         -2.56200
03-01-2005 06:12:00.000       7.18700         -4.40300          4.38500         -3.30900
03-01-2005 06:16:00.000       7.16500         -4.99600          4.32100         -1.78900
03-01-2005 06:20:00.000       7.11100         -5.05400          3.70700          3.20500
03-01-2005 06:24:00.000       7.10000         -4.54400          2.11100          4.34400
03-01-2005 06:28:00.000       6.88200         -4.40700          4.17200          1.88300
03-01-2005 06:32:00.000       6.92400         -4.39500          3.34300          3.99600
03-01-2005 06:36:00.000       6.82300         -4.54500          4.72000         0.238000
03-01-2005 06:40:00.000       6.89400         -4.25700          4.30200          2.82600
03-01-2005 06:44:00.000       6.79100         -3.21300          3.76000          4.33500
03-01-2005 06:48:00.000       6.79900         -2.42500          4.40000          4.39400
03-01-2005 06:52:00.000       6.78600         -1.56900          2.85200          5.80800
03-01-2005 06:56:00.000       6.80700         -4.18500          4.16700          2.32600
03-01-2005 07:00:00.000       6.79500         -4.60500          4.18100         0.317000
03-01-2005 07:04:00.000       7.33800         -3.13500          5.82200         -3.08100
03-01-2005 07:08:00.000       7.46000         -3.16000          5.74200         -3.38000
03-01-2005 07:12:00.000       7.19600         -4.40700          5.59300        -0.367000
03-01-2005 07:16:00.000       7.20700         -4.26200          5.39800         -1.80200
03-01-2005 07:20:00.000       7.03300         -4.77500          5.05000         0.328000
03-01-2005 07:24:00.000       6.99600         -5.11700          4.45900         0.102000
03-01-2005 07:28:00.000       7.21100         -5.13500          4.62200          1.54000
03-01-2005 07:32:00.000       7.05200         -3.85400          5.70500         -1.21200
03-01-2005 07:36:00.000       6.99100         -3.68000          5.56000         -1.70900
03-01-2005 07:40:00.000       6.46100         -4.35300          4.35700        -0.173000
03-01-2005 07:44:00.000       6.55500         -4.86900          4.25800         0.812000
03-01-2005 07:48:00.000       6.41400         -4.67500          3.87100          1.92600
03-01-2005 07:52:00.000       6.30800         -4.26600          4.50300         0.951000
03-01-2005 07:56:00.000       6.04900         -3.90700          4.56900        -0.246000
03-01-2005 08:00:00.000       6.37100         -3.42300          5.21900          1.18500
03-01-2005 08:04:00.000       6.33500         -4.57100          4.27900         0.151000
03-01-2005 08:08:00.000       6.44900         -5.05900          3.80600        -0.877000
03-01-2005 08:12:00.000       6.20000         -4.87900          3.73700        -0.417000
03-01-2005 08:16:00.000       6.33300         -3.58300          4.68800          1.94500
03-01-2005 08:20:00.000       6.35600         -3.22300          4.66300          2.61200
03-01-2005 08:24:00.000       6.42800         -3.27500          5.21700         0.897000
03-01-2005 08:28:00.000       6.35400         -4.39500          4.34900        -0.969000
03-01-2005 08:32:00.000       6.10400         -4.90600          2.81500         -1.23700
03-01-2005 08:36:00.000       6.06100         -5.34900          1.86400        -0.199000
03-01-2005 08:40:00.000       6.44200         -5.58900          1.48900          2.74800
03-01-2005 08:44:00.000       6.47500         -6.14800          1.05600          1.65300
03-01-2005 08:48:00.000       6.46700         -6.17700          1.56000       0.00300000
03-01-2005 08:52:00.000       6.46900         -5.86300          1.67300         -1.62500
03-01-2005 08:56:00.000       6.33700         -6.17700         0.768000        -0.468000
03-01-2005 09:00:00.000       6.46100         -6.31700         0.989000        -0.268000
03-01-2005 09:04:00.000       6.45700         -6.08400         0.735000        -0.247000
03-01-2005 09:08:00.000       6.45800         -6.27500       -0.0150000        -0.628000
03-01-2005 09:12:00.000       6.68500         -6.46700         0.645000         -1.39900
03-01-2005 09:16:00.000       6.68400         -5.81000          2.18100         -2.23400
03-01-2005 09:20:00.000       6.72200         -6.02700          1.41400         -2.45800
03-01-2005 09:24:00.000       6.71200         -5.58400          1.81200         -2.80200
03-01-2005 09:28:00.000       6.76800         -5.40000          2.91600         -2.73300
03-01-2005 09:32:00.000       6.66800         -4.18400          3.00000         -4.13700
03-01-2005 09:36:00.000       6.68000         -4.13200          3.18000         -4.09600
03-01-2005 09:40:00.000       6.69000         -3.46600          2.63400         -4.98600
03-01-2005 09:44:00.000       6.79300         -4.87900          1.53500         -4.04600
03-01-2005 09:48:00.000       6.63200         -5.37400         -2.55700         -2.44200
03-01-2005 09:52:00.000       6.24100         -4.27500         -3.98300         -1.93400
03-01-2005 09:56:00.000       6.62400         -5.51200         -1.11800         -2.90600
03-01-2005 10:00:00.000       6.59500         -4.93500          1.47200         -3.99500
03-01-2005 10:04:00.000       6.48600         -4.90200          1.13600         -3.98600
03-01-2005 10:08:00.000       6.38900         -5.67700          2.27600         -1.29200
03-01-2005 10:12:00.000       6.44900         -4.79600          2.25700         -3.06800
03-01-2005 10:16:00.000       6.40200         -3.84900          2.27500         -4.54900
03-01-2005 10:20:00.000       6.33900         -3.49000          2.85100         -4.37200
03-01-2005 10:24:00.000       6.10800         -4.40500          2.80200         -2.66800
03-01-2005 10:28:00.000       6.57300         -5.86300          2.17200         0.604000
03-01-2005 10:32:00.000       6.71000         -6.53400          1.04000         0.885000
03-01-2005 10:36:00.000       6.53300         -5.52400        -0.431000          2.13700
03-01-2005 10:40:00.000       6.90700         -5.41200         -2.06200          3.72900
03-01-2005 10:44:00.000       6.82100         -5.66400         -1.03600          3.37800
03-01-2005 10:48:00.000       6.58300         -5.77000        -0.126000          2.81800
03-01-2005 10:52:00.000       6.51400         -4.81000        -0.998000          4.21200
03-01-2005 10:56:00.000       6.46400         -4.47900         -1.58900          4.32200
03-01-2005 11:00:00.000       6.29900         -4.27700         -1.83000          4.16500
03-01-2005 11:04:00.000       6.30600         -4.34700         -2.00000          4.02600
03-01-2005 11:08:00.000       6.36900         -4.32200         -1.89200          4.23500
03-01-2005 11:12:00.000       6.49400         -4.86400         -2.02300          3.65400
03-01-2005 11:16:00.000       6.73800         -5.63100         -1.66800          3.10400
03-01-2005 11:20:00.000       6.69400         -4.65100         -2.23600          4.09400
03-01-2005 11:24:00.000       6.72700         -4.67300         -2.43900          4.07300
03-01-2005 11:28:00.000       6.52600         -3.30600         -3.09300          4.63400
03-01-2005 11:32:00.000       6.49600         -4.06900         -2.97400          3.77900
03-01-2005 11:36:00.000       6.62200         -5.48200         -1.41000          2.75000
03-01-2005 11:40:00.000       6.46700         -6.07200         -1.18400          1.66400
03-01-2005 11:44:00.000       6.41300         -4.23700         -3.56700       -0.0190000
03-01-2005 11:48:00.000       6.22800         -4.24100         0.666000         -3.45500
03-01-2005 11:52:00.000       6.12800         -4.24000          2.72800         -3.40500
03-01-2005 11:56:00.000       6.27800         -3.82500          3.25800         -3.72000
03-01-2005 12:00:00.000       6.14700         -3.10200          3.70300         -3.72000
03-01-2005 12:04:00.000       5.99000         -3.10400          2.26800         -4.49400
03-01-2005 12:08:00.000       6.15400         -4.01000          2.11500         -4.03000
03-01-2005 12:12:00.000       6.43800         -5.28200          1.96500         -2.91700
03-01-2005 12:16:00.000       6.57100         -5.85400          1.32300         -2.60500
03-01-2005 12:20:00.000       6.05900         -5.37300         0.270000         -2.72600
03-01-2005 12:24:00.000       5.80600         -5.17300         0.993000         -2.39400
03-01-2005 12:28:00.000       5.83500         -5.16300         0.891000         -2.46000
03-01-2005 12:32:00.000       6.07900         -5.56500         0.586000         -2.17600
03-01-2005 12:36:00.000       5.99800         -5.80800        -0.418000         -1.03500
03-01-2005 12:40:00.000       6.16600         -6.01600         0.447000        -0.739000
03-01-2005 12:44:00.000       6.73000         -6.43200         0.798000         -1.45700
03-01-2005 12:48:00.000       6.74400         -6.58300          1.04200        -0.553000
03-01-2005 12:52:00.000       6.69200         -6.46100          1.61100         0.116000
03-01-2005 12:56:00.000       6.71700         -6.33500          2.06700        -0.516000
03-01-2005 13:00:00.000       6.66100         -6.01500          2.32200         -1.59400
03-01-2005 13:04:00.000       6.43000         -6.01300          1.98500        -0.612000
03-01-2005 13:08:00.000       6.49500         -6.37200          1.01800       -0.0960000
03-01-2005 13:12:00.000       6.50500         -6.33200          1.11100        -0.755000
03-01-2005 13:16:00.000       6.48100         -6.31100         0.247000         -1.21300
